Product Id,Price,MRP,Gender,Product Name,Status,Weight,thumbnail,Color,Material,Type,Sole Material,,,
31966994,1289,4299,Women,Adriana & Gabriella Red Women Sandals,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356510ACB65/10.jpg,Red,Synthetic Leather,Sandals,Resin Sheet,,,
31966995,1289,4299,Women,Adriana & Gabriella Red Women Sandals,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356147B47E2/10.jpg,Red,Synthetic Leather,Sandals,Resin Sheet,,,
31966996,1289,4299,Women,Adriana & Gabriella Red Women Sandals,Active,1200,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356534188CD/10.jpg,Red,Synthetic Leather,Sandals,Resin Sheet,,,
31966997,1289,4299,Women,Adriana & Gabriella Red Women Sandals,Active,1200,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY203561630044A/10.jpg,Red,Synthetic Leather,Sandals,Resin Sheet,,,
31966998,1289,4299,Women,Adriana & Gabriella Red Women Sandals,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY2035694E1D55A/10.jpg,Red,Synthetic Leather,Sandals,Resin Sheet,,,
31967000,1289,4299,Women,Adriana & Gabriella Red Women Sandals,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356D19059DD/10.jpg,Red,Synthetic Leather,Sandals,Resin Sheet,,,
31967001,1600,3999,Women,Adriana & Gabriella Pink & Brown Women Sandals,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY203565EA4D181/2.jpg,Pink,Brown,Synthetic Leather,,Rubber,,
31967002,1199,3999,Women,Adriana & Gabriella Pink & Brown Women Sandals,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY203561BD55D06/2.jpg,Pink,Brown,Synthetic Leather,Sandals,Rubber,,
31967003,1199,3999,Women,Adriana & Gabriella Pink & Brown Women Sandals,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY203565CEF9229/2.jpg,Pink,Brown,Synthetic Leather,Sandals,Rubber,,
31967004,1199,3999,Women,Adriana & Gabriella Pink & Brown Women Sandals,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356199E1EAE/2.jpg,Pink,Brown,Synthetic Leather,Sandals,Rubber,,
31967005,1199,3999,Women,Adriana & Gabriella Pink & Brown Women Sandals,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY203569B4FCFBE/2.jpg,Pink,Brown,Synthetic Leather,Sandals,Rubber,,
31967006,1199,3999,Women,Adriana & Gabriella Pink & Brown Women Sandals,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356DE3E4339/2.jpg,Pink,Brown,Synthetic Leather,Sandals,Rubber,,
31967011,1760,4399,Women,Adriana & Gabriella Yellow Wedges,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY203567B6CB1A1/10.jpg,Yellow,Synthetic Leather,,Resin Sheet,,,
31967012,1319,4399,Women,Adriana & Gabriella Yellow Wedges,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY2035699383949/10.jpg,Yellow,Synthetic Leather,Wedges,Resin Sheet,,,
31967013,1319,4399,Women,Adriana & Gabriella Yellow Wedges,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY203562464D756/10.jpg,Yellow,Synthetic Leather,Wedges,Resin Sheet,,,
31967014,1319,4399,Women,Adriana & Gabriella Yellow Wedges,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356C6305FBE/10.jpg,Yellow,Synthetic Leather,Wedges,Resin Sheet,,,
31967015,1760,4399,Women,Adriana & Gabriella Yellow Wedges,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356A77F3DDE/10.jpg,Yellow,Synthetic Leather,,Resin Sheet,,,
31967016,1319,4399,Women,Adriana & Gabriella Yellow Wedges,Active,500,https://assetscdn.paytm.com/images/catalog/product/F/FO/FOOADRIANA-GABRPLAY20356452BB536/10.jpg,Yellow,Synthetic Leather,Wedges,Resin Sheet,,,
